"","V1","V2"
"1","MICHAEL","25"
"2","DON CORLEONE","17"
"3","HAGEN","17"
"4","SONNY","15"
"5","SOLLOZZO","10"
"6","CLEMENZA","11"
"7","MAN","4"
"8","CARLO","9"
"9","PAULIE","6"
"10","KAY","8"
"11","LUCA","4"
"12","NERI","2"
"13","JOHNNY","7"
"14","TESSIO","7"
"15","FREDO","6"
"16","CONNIE","5"
"17","BONASERA","3"
"18","MCCLUSKEY","3"
"19","DRIVER","2"
"20","GIRL","4"
"21","APPOLONIA","2"
"22","BARZINI","1"
"23","BRUNO","1"
"24","CALO","3"
"25","COP","2"
"26","DON TOMMASSINO","2"
"27","ENZO","1"
"28","FABRIZZIO","3"
"29","GENCO","1"
"30","LAMPONE","2"
"31","LUCY","1"
"32","MAMA","3"
"33","MAN 2","1"
"34","MOE","3"
"35","NAZORINE","2"
"36","NURSE","2"
"37","PRIEST","1"
"38","SANDRA","4"
"39","THE GODFATHER","2"
"40","VITELLI","3"
"41","WOLTZ","1"
"42","WOMAN","2"
